"","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI","okataina"
"105",59.33,1.06,19.03,9.21,0.15,3.32,4.1,2.41,1.36,0.03,4.79,"TRUE"
"106",72.61,0.38,15.12,2.83,0.06,0.6,1.94,3.29,3.17,0.02,4.35,"TRUE"
"107",69.13,0.47,16.46,4.67,0.1,1.31,2.33,3.04,2.47,0.01,4.66,"TRUE"
"108",73.35,0.37,14.36,2.94,0.06,0.44,1.98,3.19,3.31,0.01,4.38,"TRUE"
"109",66.33,0.6,17.38,5.8,0.09,1.89,3.02,2.94,1.93,0.02,3.87,"TRUE"
"110",76.45,0.18,13.48,1.6,0.04,0.21,1,3.32,3.71,0.01,3.98,"TRUE"
"111",76.69,0.18,13.32,1.6,0.04,0.2,0.92,3.3,3.75,0.01,4.61,"TRUE"
"112",51.29,0.99,18.69,11.85,0.2,5.63,8.88,1.77,0.6,0.09,3.28,"TRUE"
"113",75.23,0.15,14.2,1.35,0.04,0.29,0.88,3.2,4.65,0.01,4.24,"TRUE"
"114",76.52,0.12,13.23,1.3,0.04,0.17,0.75,2.99,4.87,0.01,2.03,"TRUE"
"115",75.68,0.28,13.18,2.11,0.05,0.46,1.68,3.36,3.18,0.02,2.88,"TRUE"
"116",76.6,0.13,13.27,1.37,0.05,0.22,0.89,3.12,4.34,0.01,3.23,"TRUE"
"117",72.8,0.34,14.75,2.67,0.06,0.66,2.22,3.59,2.89,0.02,3.85,"TRUE"
"118",72.63,0.35,14.72,2.63,0.06,0.61,1.98,3.71,3.27,0.03,2.56,"TRUE"
"119",74.08,0.32,14,2.38,0.06,0.51,1.77,3.52,3.32,0.03,2.24,"TRUE"
"120",75.71,0.15,13.36,1.55,0.04,0.26,0.94,3.49,4.49,0.01,2.89,"TRUE"
"121",57.65,1.06,17.55,9.23,0.18,3.67,6.64,2.95,1.02,0.06,3.64,"TRUE"
"122",59.19,0.8,17.33,8.27,0.16,4.28,6.07,2.75,1.12,0.03,4.14,"TRUE"
"123",76.33,0.14,13.2,1.24,0.05,0.14,0.96,3.61,4.31,0.01,2.99,"TRUE"
"124",63.75,0.75,16.16,6.78,0.12,2.73,4.66,3.07,1.91,0.05,3,"TRUE"
"125",76.12,0.14,13.77,1.33,0.05,0.13,0.82,2.91,4.7,0.01,3.08,"TRUE"
"126",76.38,0.13,13.49,1.23,0.05,0.13,0.77,2.92,4.88,0.01,3.33,"TRUE"
"127",76.28,0.12,13.86,1.19,0.05,0.12,0.64,2.56,5.15,0.02,3.35,"TRUE"
"128",74.89,0.29,13.76,2.65,0.04,0.45,1.71,3.23,2.97,0.02,1.41,"TRUE"
"129",76.61,0.16,13.02,1.39,0.05,0.34,1.02,3.33,4.07,0,3.91,"TRUE"
"130",75.8,0.21,13.76,1.28,0.05,0.33,1.52,3.54,3.5,0.01,3.77,"TRUE"
"131",76.16,0.17,13.4,1.53,0.05,0.26,1.03,3.43,3.96,0.01,3.9,"TRUE"
"132",76.88,0.14,12.73,1.41,0.05,0.23,0.88,3.53,4.13,0.01,2.35,"TRUE"
"133",77.74,0.11,12.19,1.3,0.04,0.15,0.81,3.89,3.76,0.01,1.17,"TRUE"
