"","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","LOI","okataina"
"300",74.85,0.25,13.98,1.88,0.06,0.33,1.64,3.75,3.19,0.08,3.12,"TRUE"
"301",74.84,0.26,13.72,1.93,0.06,0.36,1.6,3.96,3.25,0.02,3.19,"TRUE"
"302",75.13,0.24,13.66,1.83,0.06,0.34,1.59,3.88,3.24,0.02,4.97,"TRUE"
"303",77.36,0.17,13.1,1.2,0.05,0.13,0.89,3.78,3.25,0.07,4,"TRUE"
"304",76.46,0.16,13.21,1.7,0.05,0.14,0.94,4.08,3.19,0.06,4.71,"TRUE"
"305",77.69,0.11,12.81,1.18,0.04,0.07,0.87,3.19,4.02,0.01,4.15,"TRUE"
"306",77.76,0.11,12.9,1.2,0.04,0.07,0.83,3.19,3.88,0.01,4.1,"TRUE"
"307",77.93,0.11,12.58,1.16,0.04,0.07,0.8,3.42,3.87,0.01,4.34,"TRUE"
"308",77.2,0.15,12.55,1.3,0.02,0.17,0.96,3.74,3.89,0.01,0.9,"TRUE"
"309",75.28,0.22,13.9,1.96,0.06,0.29,1.36,3.69,3.21,0.02,4.03,"TRUE"
"310",74.33,0.27,14.46,2.28,0.06,0.3,1.5,3.55,3.2,0.03,4.39,"TRUE"
"311",77.54,0.17,12.18,1.7,0.05,0.23,1.3,4.02,2.79,0.02,1.01,"TRUE"
"312",74.76,0.23,13.74,1.91,0.06,0.38,1.69,3.97,3.22,0.05,2.85,"TRUE"
"313",74.46,0.24,13.9,1.84,0.06,0.49,1.68,3.98,3.31,0.05,3.03,"TRUE"
"314",73.78,0.25,14.47,2,0.06,0.41,1.68,4.01,3.29,0.04,3.11,"TRUE"
"315",74.5,0.25,14.07,1.85,0.05,0.49,1.72,3.88,3.13,0.04,4.37,"TRUE"
"316",75.24,0.23,13.62,1.87,0.05,0.38,1.6,3.83,3.14,0.04,3.53,"TRUE"
"317",73.2,0.3,14.52,2.4,0.06,0.57,2.37,3.63,2.92,0.02,3.77,"TRUE"
"318",74.41,0.31,14.11,2.29,0.03,0.56,1.49,3.42,3.37,0.02,1.8,"TRUE"
"319",77.29,0.13,12.63,1.42,0.04,0.19,1.02,3.91,3.36,0.01,3.46,"TRUE"
"320",77.35,0.1,12.62,1.27,0.04,0.14,0.91,3.98,3.58,0.01,2.89,"TRUE"
"321",76.12,0.29,14.15,1.34,0.01,0.23,1.04,3.16,3.64,0.02,1.79,"TRUE"
"322",75.62,0.24,13.7,1.89,0.02,0.22,1.21,3.5,3.59,0.02,2.65,"TRUE"
"323",75.87,0.23,13.24,1.8,0.05,0.4,1.38,3.95,3.06,0.02,1.48,"TRUE"
"324",73.2,0.33,14.78,2.52,0.06,0.51,1.99,3.15,3.45,0.01,3.93,"TRUE"
"325",71.01,0.41,17.01,2.85,0.05,0.62,2.19,3.16,2.68,0.01,4.89,"TRUE"
"326",72.95,0.31,16.2,1.98,0.04,0.46,1.91,3.1,3.04,0.01,3.96,"TRUE"
"327",73.44,0.31,15.72,1.84,0.04,0.42,1.75,3.08,3.39,0.01,4.34,"TRUE"
"328",74.71,0.27,14.39,1.69,0.04,0.32,1.75,3.25,3.56,0.01,3.74,"TRUE"
"329",77,0.17,12.65,1.45,0.05,0.2,0.98,3.58,3.91,0.01,3.64,"FALSE"
"330",75.08,0.27,13.59,1.38,0.05,0.45,1.81,3.69,3.67,0.02,3.35,"FALSE"
